###nvmain stats
######===============
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.subArrayEnergy 26294.8nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activeEnergy 200.919nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.burstEnergy 182.531nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredPauses 3
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.reads 166
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.writes 3
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.activates 59
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.precharges 59
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.sub_array_rb_hit 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.sub_array_rb_miss 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaits 398
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitTotal 10910
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.actWaitAverage 27.4121
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.measuredWriteTimes 3
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.cancelCountHisto {0: 2}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankEnergy 26294.8nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeEnergy 200.919nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstEnergy 182.531nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bankPower 1.50159e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activePower 114737W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.burstPower 104236W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshPower 1.47969e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.bandwidth 259.334MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.dataCycles 676
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.powerCycles 111107
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.utilization 0.00608423
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.reads 166
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.writes 3
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activates 59
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.precharges 59
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.activeCycles 17752
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.standbyCycles 93355
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.fastExitActiveCycles 32920
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.fastExitPrechargeCycles 1607103
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.actWaits 133
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.actWaitTotal 333
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.actWaitAverage 2.50376
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.subArrayEnergy 26377.1nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activeEnergy 286.054nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.burstEnergy 179.68nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredPauses 15
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.reads 152
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.writes 15
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.activates 84
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.precharges 84
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.sub_array_rb_hit 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.sub_array_rb_miss 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaits 675
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitTotal 17315
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.actWaitAverage 25.6519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredWriteTimes 15
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelCountHisto {0: 14}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankEnergy 26377.1nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeEnergy 286.054nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstEnergy 179.68nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshEnergy 25911.3nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankPower 1.50629e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activePower 163354W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstPower 102608W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshPower 1.47969e+07W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bandwidth 256.265MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.dataCycles 668
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.powerCycles 111107
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.00601222
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 152
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 15
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 84
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 84
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 672
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 17241
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 93866
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 37274
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 1602749
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 171
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 340
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.9883
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 26278.8nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 204.324nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 163.128nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writeEnergy 0nJ
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 25911.3nJ
